ds,y
2021-08-06,-7.042253521126761
2021-08-09,2.356902356902357
2021-08-10,-0.4934210526315789
2021-08-11,-0.49586776859504134
2021-08-12,2.1594684385382057
2021-08-13,-1.3008130081300813
2021-08-16,-4.448105436573312
2021-08-17,-1.896551724137931
2021-08-18,3.163444639718805
2021-08-19,-1.8739352640545146
2021-08-20,0.8680555555555556
2021-08-23,3.4423407917383817
2021-08-24,0.16638935108153077
2021-08-25,0.33222591362126247
2021-08-26,-1.490066225165563
2021-08-27,1.3445378151260505
2021-08-30,2.6533996683250414
2021-08-31,0.48465266558966075
2021-09-01,-0.3215434083601286
2021-09-02,-0.6451612903225806
2021-09-03,0.16233766233766234
2021-09-06,0.3241491085899514
2021-09-07,2.4232633279483036
2021-09-08,0.6309148264984227
2021-09-09,0.0
2021-09-10,-2.507836990595611
2021-09-13,1.1254019292604502
2021-09-14,0.0
2021-09-15,1.5898251192368837
2021-09-16,-28.761061946902654
2021-09-17,0.4658385093167702
2021-09-20,-3.863987635239567
2021-09-21,1.4469453376205788
2021-09-22,1.7432646592709984
2021-09-23,0.0
2021-09-24,2.803738317757009
2021-09-27,2.5757575757575757
2021-09-28,-1.6248153618906942
2021-09-29,1.2012012012012012
2021-09-30,-0.741839762611276
2021-10-01,-0.14947683109118087
2021-10-04,0.5988023952095809
2021-10-05,0.2976190476190476
2021-10-06,0.44510385756676557
2021-10-07,1.329394387001477
2021-10-08,-1.0204081632653061
2021-10-11,1.0309278350515463
2021-10-12,1.749271137026239
2021-10-13,0.0
2021-10-14,1.002865329512894
2021-10-15,2.6950354609929077
2021-10-18,3.4530386740331496
2021-10-19,-1.0680907877169559
2021-10-20,0.0
2021-10-21,3.7786774628879893
2021-10-22,1.5604681404421328
2021-10-25,12.804097311139564
2021-10-26,-0.22701475595913734
2021-10-27,1.8202502844141069
2021-10-28,3.016759776536313
2021-10-29,4.4468546637744035
2021-11-01,8.307372793354102
2021-11-02,-3.451581975071908
2021-11-03,3.475670307845084
2021-11-04,2.3032629558541267
2021-11-05,-1.3133208255159476
2021-11-08,-4.657794676806084
2021-11-09,-12.26321036889332
2021-11-10,6.363636363636363
2021-11-11,-0.7478632478632479
2021-11-12,-2.6910656620021527
2021-11-15,-4.700854700854701
2021-11-16,4.596412556053812
2021-11-17,3.322615219721329
2021-11-18,0.1037344398340249
2021-11-19,4.248704663212435
2021-11-22,2.286282306163022
2021-11-23,-4.275996112730807
2021-11-24,1.015228426395939
2021-11-25,0.0
2021-11-26,-4.1206030150753765
2021-11-29,5.555555555555555
2021-11-30,0.29791459781529295
2021-12-01,-4.0594059405940595
2021-12-02,-1.1351909184726523
2021-12-03,-6.367432150313153
2021-12-06,-0.33444816053511706
2021-12-07,4.138702460850112
2021-12-08,1.1815252416756177
2021-12-09,-5.626326963906582
2021-12-10,1.124859392575928
2021-12-13,-4.671857619577309
2021-12-14,-0.5834305717619603
2021-12-15,1.2910798122065728
2021-12-16,-5.214368482039398
2021-12-17,1.8337408312958436
2021-12-20,-4.081632653061225
2021-12-21,4.005006257822278
2021-12-22,6.979542719614922
2021-12-23,5.961754780652419
2021-12-27,2.4416135881104037
2021-12-28,-0.31088082901554404
2021-12-29,-0.5197505197505198
2021-12-30,-0.7314524555903866
2022-01-03,11.68421052631579
2022-01-04,-3.7700282752120637
2022-01-05,-5.484818805093046
2022-01-06,-2.383419689119171
2022-01-07,-4.033970276008493
2022-01-10,3.0973451327433628
2022-01-11,0.4291845493562232
2022-01-12,32.510288065843625
2022-01-13,-6.728778467908903
2022-01-14,2.108768035516093
2022-01-17,-0.32608695652173914
2022-01-18,-0.8724100327153763
2022-01-19,-3.52035203520352
2022-01-20,0.5701254275940707
2022-01-21,-5.442176870748299
2022-01-24,-1.1990407673860912
2022-01-25,-1.2135922330097086
2022-01-26,2.457002457002457
2022-01-27,-10.67146282973621
2022-01-28,1.8791946308724832
2022-01-31,9.617918313570488
2022-02-01,-0.7211538461538461
2022-02-02,-3.14769975786925
2022-02-03,-2.375
2022-02-04,3.329065300896287
2022-02-07,-2.1065675340768277
2022-02-08,2.151898734177215
2022-02-09,0.9913258983890955
2022-02-10,-2.8220858895705523
2022-02-11,-3.787878787878788
2022-02-14,1.837270341207349
2022-02-15,4.510309278350515
2022-02-16,-0.12330456226880394
2022-02-17,-4.814814814814815
2022-02-18,-1.9455252918287937
2022-02-21,-4.1005291005291005
2022-02-22,-0.13793103448275862
2022-02-23,-6.49171270718232
2022-02-24,5.465288035450517
2022-02-25,0.42016806722689076
2022-02-28,8.089260808926081
2022-03-01,-0.12903225806451613
2022-03-02,2.0671834625323
2022-03-03,-4.050632911392405
2022-03-04,1.0554089709762533
2022-03-07,-3.0026109660574414
2022-03-08,1.6150740242261103
2022-03-09,2.6490066225165565
2022-03-10,-1.5483870967741935
2022-03-11,-4.456094364351245
2022-03-14,-6.425702811244979
2022-03-15,4.721030042918455
2022-03-16,3.9617486338797816
2022-03-17,2.628120893561104
2022-03-18,4.737516005121639
2022-03-21,2.567237163814181
2022-03-22,6.436233611442193
2022-03-23,1.4557670772676372
2022-03-24,1.3245033112582782
2022-03-25,-0.10893246187363835
2022-03-28,8.287895310796074
2022-03-29,-0.3021148036253776
2022-03-30,-1.3131313131313131
2022-03-31,-0.1023541453428864
2022-04-01,0.4098360655737705
2022-04-04,6.326530612244897
2022-04-05,-3.934740882917467
2022-04-06,-4.095904095904096
2022-04-07,1.1458333333333333
2022-04-08,-2.780638516992791
2022-04-11,-5.084745762711865
2022-04-12,1.5625
2022-04-13,3.1868131868131866
